Course,Section,Date,Time,Room,Updates
ACC100,011,2024-12-13,08:00 EST,MAC 4TH FL, No updates
ACC100,021,2024-12-13,08:00 EST,MAC ARENA, No updates
ACC100,031,2024-12-13,08:00 EST,MAC ARENA, No updates
ACC100,041,2024-12-13,08:00 EST,MAC ARENA, No updates
ACC100,051,2024-12-13,08:00 EST,MAC COURT, No updates
ACC110,011,2024-12-10,15:00 EST,TRS2154, No updates
ACC406,011,2024-12-11,15:00 EST,MAC ARENA, No updates
ACC406,021,2024-12-11,15:00 EST,MAC ARENA, No updates
ACC406,031,2024-12-11,15:00 EST,MAC ARENA, No updates
ACC406,041,2024-12-11,15:00 EST,MAC ARENA, No updates
ACS100,011,2024-12-05,15:00 EST,TRS1067, No updates
ACS100,021,2024-12-05,15:00 EST,TRS1067, No updates
ACS100,031,2024-12-05,15:00 EST,TRS1067, No updates
ACS100,041,2024-12-05,15:00 EST,TRS1067, No updates
ACS100,051,2024-12-05,15:00 EST,TRS1067, No updates
ACS100,061,2024-12-05,15:00 EST,TRS1067, No updates
ACS100,071,2024-12-05,15:00 EST,TRS1067, No updates
ACS100,081,2024-12-05,15:00 EST,TRS1067, No updates
ACS100,091,2024-12-05,15:00 EST,TRS1067, No updates
ACS100,101,2024-12-05,15:00 EST,TRS1067, No updates
AE8102,011,2024-12-06,15:00 EST,VIC300, No updates
AE8116,011,2024-12-06,08:00 EST,SHE637, No updates
AER150,011,2024-12-04,15:00 EST,VIC608, No updates
AER309,011,2024-12-08,14:00 EST,TRS1109, No updates
AER309,021,2024-12-08,14:00 EST,TRS1109, No updates
AER309,031,2024-12-08,14:00 EST,TRS1119, No updates
AER309,041,2024-12-08,14:00 EST,TRS1119, No updates
AER309,051,2024-12-08,14:00 EST,TRS1099, No updates
AER309,061,2024-12-08,14:00 EST,TRS1099, No updates
AER309,071,2024-12-08,14:00 EST,TRS1119, No updates
AER316,011,2024-12-09,12:00 EST,TRS1119, No updates
AER316,021,2024-12-09,12:00 EST,TRS1119, No updates
AER316,031,2024-12-09,12:00 EST,TRS1109, No updates
AER316,041,2024-12-09,12:00 EST,TRS1109, No updates
AER316,051,2024-12-09,12:00 EST,TRS1099, No updates
AER316,061,2024-12-09,12:00 EST,TRS1099, No updates
AER318,011,2024-12-05,15:00 EST,MAC COURT, No updates
AER318,021,2024-12-05,15:00 EST,MAC COURT, No updates
AER318,031,2024-12-05,15:00 EST,MAC COURT, No updates
AER318,041,2024-12-05,15:00 EST,MAC COURT, No updates
AER318,051,2024-12-05,15:00 EST,MAC COURT, No updates
AER504,011,2024-12-07,13:00 EST,SHE554, No updates
AER504,021,2024-12-07,13:00 EST,SHE554, No updates
AER504,031,2024-12-07,13:00 EST,SHE598 , No updates
AER504,041,2024-12-07,13:00 EST,SHE598 , No updates
AER504,051,2024-12-07,13:00 EST,SHE560, No updates
AER504,061,2024-12-07,13:00 EST,SHE560, No updates
AER507,011,2024-12-04,15:00 EST,TRS1075, No updates
AER507,021,2024-12-04,15:00 EST,TRS1075, No updates
AER507,031,2024-12-04,15:00 EST,TRS1075, No updates
AER507,041,2024-12-04,15:00 EST,TRS1077, No updates
AER507,051,2024-12-04,15:00 EST,TRS1077, No updates
AER507,061,2024-12-04,15:00 EST,TRS1077, No updates
AER520,011,2024-12-10,15:00 EST,VIC110, No updates
AER520,021,2024-12-10,15:00 EST,VIC110, No updates
AER520,031,2024-12-10,15:00 EST,VIC106, No updates
AER520,041,2024-12-10,15:00 EST,VIC106, No updates
AER520,051,2024-12-10,15:00 EST,VIC105, No updates
AER520,061,2024-12-10,15:00 EST,VIC105, No updates
AER715,011,2024-12-09,12:00 EST,KHE321B, No updates
AER715,021,2024-12-09,12:00 EST,KHE321B, No updates
AER715,031,2024-12-09,12:00 EST,KHE323, No updates
AER715,041,2024-12-09,12:00 EST,KHE323, No updates
AER715,051,2024-12-09,12:00 EST,KHE321B, No updates
AER716,011,2024-12-05,15:00 EST,HEI201, No updates
AER722,011,2024-12-04,08:00 EST,TRS1075, No updates
AER723,011,2024-12-05,15:00 EST,KHS134, No updates
AER723,021,2024-12-05,15:00 EST,KHS134, No updates
AER817,011,2024-12-07,09:00 EST,VIC205, No updates
AER817,021,2024-12-07,09:00 EST,VIC205, No updates
AER817,031,2024-12-07,09:00 EST,VIC202, No updates
AER821,011,2024-12-11,15:00 EST,KHE321B, No updates
AER821,021,2024-12-11,15:00 EST,KHE321B, No updates
AER827,011,2024-12-12,15:00 EST,SHE637, No updates
AER827,021,2024-12-12,15:00 EST,SHE637, No updates
AFA200,011,2024-12-06,08:00 EST,KHW271, No updates
AFA200,021,2024-12-06,08:00 EST,KHW271, No updates
AFA200,031,2024-12-06,08:00 EST,KHW271, No updates
AFA200,041,2024-12-06,08:00 EST,KHW271, No updates
AFA200,051,2024-12-06,08:00 EST,KHW271, No updates
AFA300,011,2024-12-13,08:00 EST,TRS2154, No updates
AFA400,011,2024-12-14,09:00 EST,TRS3148, No updates
AFA400,011,2024-12-14,09:00 EST,TRS3150, No updates
AFA400,021,2024-12-14,09:00 EST,TRS2154, No updates
AFA500,011,2024-12-13,15:00 EST,TRS2006, No updates
AFA500,021,2024-12-13,15:00 EST,TRS2154, No updates
AFA511,011,2024-12-09,08:00 EST,TRS2154, No updates
AFA511,021,2024-12-09,08:00 EST,TRS3150, No updates
AFA511,031,2024-12-09,08:00 EST,TRS2006, No updates
AFA511,031,2024-12-09,08:00 EST,TRS3148, No updates
AFA518,011,2024-12-05,08:00 EST,TRS2154, No updates
AFA518,021,2024-12-05,08:00 EST,TRS3148, No updates
AFA518,021,2024-12-05,08:00 EST,TRS3150, No updates
AFA620,011,2024-12-10,08:00 EST,ENGLG12, No updates
AFA620,021,2024-12-10,08:00 EST,ENGLG06, No updates
AFA706,011,2024-12-12,15:00 EST,KHE119, No updates
AFA706,021,2024-12-12,15:00 EST,KHE121, No updates
AFA708,011,2024-12-08,10:00 EST,DCC204, No updates
AFA708,021,2024-12-08,10:00 EST,DCC208, No updates
AFA716,011,2024-12-04,15:00 EST,TRS2154, No updates
AFA717,011,2024-12-06,08:00 EST,TRS3148, No updates
AFA717,021,2024-12-06,08:00 EST,TRS3150, No updates
AFA717,701E,2024-12-06,08:00 EST,TRS2006, No updates
AFA717,711E,2024-12-06,08:00 EST,TRS2006, No updates
AFA817,011,2024-12-11,15:00 EST,TRS2154, No updates
AFA817,021,2024-12-11,15:00 EST,TRS2006, No updates
AFA819,011,2024-12-12,08:00 EST,TRS2006, No updates
AFA819,021,2024-12-12,08:00 EST,TRS2154, No updates
AFF210,011,2024-12-12,15:00 EST,TRS2154, No updates
AFF210,021,2024-12-12,15:00 EST,TRS3148, No updates
AFF210,021,2024-12-12,15:00 EST,TRS3150, No updates
AFF210,031,2024-12-12,15:00 EST,TRS2006, No updates
AFF310,011,2024-12-05,15:00 EST,TRS2006, No updates
AFF310,011,2024-12-05,15:00 EST,TRS2154, No updates
AFF310,021,2024-12-05,15:00 EST,TRS3150, No updates
AFF310,031,2024-12-05,15:00 EST,TRS3148, No updates
AFF501,011,2024-12-07,13:00 EST,VIC608, No updates
AFF502,011,2024-12-06,15:00 EST,TRS2154, No updates
AFF502,021,2024-12-06,15:00 EST,TRS2006, No updates
AFF514,011,2024-12-12,15:00 EST,ONLINE, No updates
AFF514,021,2024-12-12,15:00 EST,ONLINE, No updates
AFF624,011,2024-12-08,10:00 EST,ENGLG24, No updates
AFF624,701E,2024-12-08,10:00 EST,ENGLG04, No updates
AFF704,011,2024-12-10,08:00 EST,TRS2154, No updates
AFF711,011,2024-12-04,15:00 EST,TRS2006, No updates
AM8001,011,2024-12-06,15:00 EST,EPH111, No updates
AM8101,011,2024-12-07,09:00 EST,VIC300, No updates
AM8212,011,2024-12-14,13:00 EST,SHE540, No updates
AM8214,011,2024-12-08,14:00 EST,KHE321B, No updates
AR8101,011,2024-12-10,08:00 EST,KHE220, No updates
AR8101,011,2024-12-10,08:00 EST,KHE220, No updates
ARB101,011,2024-12-06,12:00 EST,KHE121, No updates
ARB101,021,2024-12-06,12:00 EST,KHE121, No updates
ARB201,011,2024-12-11,09:00 EST,TRS1099, No updates
ARB300,011,2024-12-04,09:00 EST,VIC208, No updates
ARB301,011,2024-12-14,13:00 EST,KHE220, No updates
ARB401,011,2024-12-06,12:00 EST,EPH112, No updates
ASC102,011,2024-12-08,14:00 EST,ONLINE,Updated to Online 
ASC102,011,2024-12-08,14:00 EST,ONLINE,Updated to Online 
ASC120,011,2024-12-14,13:00 EST,ONLINE,Updated to Online 
ASC303,011,2024-12-07,09:00 EST,ARC403,No updates
ASC522,011,2024-12-10,08:00 EST,VIC608,No updates
ASC621,011,2024-12-12,08:00 EST,TRS2166,No updates
ASL101,011,2024-12-06,15:00 EST,ENGLG14,No updates
ASL101,021,2024-12-06,15:00 EST,ENGLG14,No updates
ASL101,031,2024-12-06,15:00 EST,ENGLG02,No updates
ASL101,041,2024-12-06,15:00 EST,ENGLG06,No updates
ASL101,051,2024-12-06,15:00 EST,ENGLG04,No updates
ASL101,071,2024-12-06,15:00 EST,ENG105,No updates
ASL101,081,2024-12-06,15:00 EST,ENG106,No updates
ASL101,701E,2024-12-06,15:00 EST,ENG102,No updates
ASL101,711E,2024-12-06,15:00 EST,ENGLG05,No updates
ASL101,741E,2024-12-06,15:00 EST,ENG101,No updates
ASL201,011,2024-12-07,13:00 EST,KHE121,No updates
ASL201,021,2024-12-07,13:00 EST,KHE119,No updates
ASL201,031,2024-12-07,13:00 EST,KHE118,No updates
ASL301,011,2024-12-14,13:00 EST,ENGLG13,No updates
ASL401,011,2024-12-07,13:00 EST,ENGLG12,No updates
BCH361,011,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,021,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,031,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,041,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,051,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,061,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,071,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,081,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,091,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,101,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,111,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,121,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,131,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,141,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,151,2024-12-06,08:00 EST,MAC COURT,No updates
BCH361,171,2024-12-06,08:00 EST,MAC COURT,No updates
BCH550,011,2024-12-06,15:00 EST,SHE637,No updates
BE8101,011,2024-12-08,14:00 EST,SHE637,No updates
BL8100,011,2024-12-06,08:00 EST,VIC208,No updates
BL8101,011,2024-12-08,10:00 EST,KHE220,No updates
BLG101,011,2024-12-13,09:00 EST,ENG103,No updates
BLG143,011,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,011,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,021,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,021,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,031,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,031,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,041,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,041,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,051,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,051,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,061,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,061,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,071,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,071,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,081,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,081,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,091,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,091,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,101,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,101,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,111,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,111,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,121,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,121,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,131,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,131,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,141,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,141,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,151,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,151,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,161,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,161,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,171,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,171,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,181,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,181,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,191,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,191,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,201,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,201,2024-12-05,12:00 EST,MAC 4TH FL,No updates
BLG143,211,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,211,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,221,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,221,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,231,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,231,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,241,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,241,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,251,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,251,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,261,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,261,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,291,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,291,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,301,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,301,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,311,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,311,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,321,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,321,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,331,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,331,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,341,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG143,341,2024-12-05,12:00 EST,MAC ARENA,No updates
BLG151,011,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,021,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,031,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,041,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,051,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,061,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,071,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,081,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,091,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,101,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,121,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,131,2024-12-05,09:00 EST,MAC COURT,No updates
BLG151,141,2024-12-05,09:00 EST,MAC COURT,No updates
